The Beatles, Come Together	One and one and one is three.
Angus, Night in the Woods	I believe in a universe that doesn't care and people who do.
The Chronicles of Prydain	I have long loved you, and loved you even before I knew that I did.
Castle on the Hill	I still remember these old country lanes when we did not know the answers.
Pierce Brown, Golden Son	Tell all who will hear, the Reaper sails to Mars. And he calls for an Iron Rain.
Patrick Jane, The Mentalist	Everybody dies. Very few people ever feel truly sorry for the bad things they've done.
Sonnet 18	So long as men can breathe, or eyes can see, so long lives this, and this gives life to thee.
The Outsiders	You get tough like me and you don't get hurt. You look out for yourself and nothin' can touch you...
The Idiot	Grown-up people do not know that a child can give exceedingly good advice even in the most difficult case.
Confessions	What then is time? If no one asks me, I know what it is. If I wish to explain it to him who asks, I do not know.
Sin City	It's my own fault, and nobody else's, that I got confused. I've been having so much fun, I forgot to take my medicine.
Avett Brothers - The Weight of Lies	So when you run, make sure you run to something and not away from, 'cause lies don't need an aeroplane to chase you anywhere.
The Time Machine	Nature never appeals to intelligence until habit and instinct are useless. There is no intelligence where there is no need of change.
The Fountain	All these fears and all this love, all you've given me, it's not enough. All my dreams and all this stuff, all made real... it's not enough.
The Longest Text Ever	It's crazy to think that everything we could ever possibly say or write is massively outweighed by meaningless strings of letters and punctuation.
Goo Goo Dolls - Iris	And I don't want the world to see me 'cause I don't think that they'd understand. When everything's meant to be broken, I just want you to know who I am.
Tokyo Ghoul	You choose to be hurt rather than to hurt others, right? You're nice and wonderful. But while it seems like you are choosing both, you're really forsaking both.
Harry Potter and the Order of the Phoenix	They're called Thestrals, they're quite gentle really. But people avoid them because they're a bit... different. They can only be seen by people who have seen death.
Mostly Harmless	At every level, vital instructions were missing, and the instructions about what to do in the event of discovering that vital instructions were missing, were also missing.
Found	So they stood at the edge of the woods while all the other kids filed past. Katherine shot Jonah a white-faced worried look as she walked by, but there was nothing she could do.
Red Rising - Pierce Brown	You do not follow me because I am the strongest. Pax is. You do not follow me because I am the brightest. Mustang is. You follow me because you do not know where you are going. I do.
The Mandalorian	You have something I want. You may think you have some idea of what you have in your possession, but you do not. Soon, he will be back with me. He means more to me than you will ever know.
The Dark Knight Rises	Oh, you think darkness is your ally. But you merely adopted the dark; I was born in it, molded by it. I didn't see the light until I was already a man, by then it was nothing to me but blinding!
Star Trek: The Original Series	Genius doesn't work on an assembly line basis. Did Einstein, Kazanga or Sitar of Vulcan produce new and revolutionary theories on a regular schedule? You can't simply say, "Today I will be brilliant."
The Wise Man's Fear	It's the questions we can't answer that teach us the most. They teach us how to think. If you give a man an answer, all he gains is a little fact. But give him a question and he'll look for his own answers.
Mastering Computer Typing (1995)	Even the best-designed chair won't make up for bad posture. Bad posture is the root of many physical problems. So sit upright and don't slouch. Your back should be straight to support the upper part of your body.
Me and Earl and the Dying Girl	So if this was a touching romantic story this is probably where a new feeling would wash over me and suddenly we would be furiously making out with the fire of a thousand suns. But this isn't a touching romantic story.
A Beautiful Mind	I still see things that are not here. I just choose not to acknowledge them. Like a diet of the mind, I just choose not to indulge certain appetites; like my appetite for patterns; perhaps my appetite to imagine and to dream.
What Video Games Have to Teach Us About Learning and Literacy	Humans need to practice what they are learning a good deal before they master it. Furthermore, they tend to lose a good deal of their learning when they cease to practice the skills associated with this learning in their daily lives.
A Little Song	The spirit and the senses so easily grow dead to the impressions of the beautiful and the perfect that one ought everyday to hear a little song, read a good poem, see a fine picture and if it were possible, to speak a few reasonable words.
The Lebanon	She dreams of 1969 before the soldiers came. The life was cheap on bread and wine and sharing meant no shame. She is awakened by the screams of rockets flying from nearby, and scared she clings onto her dreams to beat the fear that she might die.
